id,source,jim_crow,type,chapter_num,section_num,chapter_text,section_text,extrinsic
1885_public laws_8_10,paschal,1,public laws,7,9,CHAPTER 7 An Act to establish the Edenton Graded School. The General Assembly of North Carolina do enact ;,"That the act of the general assembly ratified March third, one thousand eight hundred and eightythree, entitled An act to establish graded schools at Edenton, Chowan county, North Carolina, and all other laws in conflict with this act be hereby repealed, and this act shall take the place for said school district of the public school law now existing or passed at this session of the general assembly.",1
1885_public laws_52_2,paschal,1,public laws,51,1,"CHAPTER 51 An to provide for separate schools for Croatan Indians in Robeson county. Wuersas, the Indians now living in Robeson county claim to be descendants of a friendly tribe who once re- sided in eastern North Carolina on the Roanoke river, known as the Croatan Indians; therefore, The General Assembly of North Carolina do enact :",That the said Indians and their descendants shall hereafter be designated and known as the Croatan Indians.,0
1889_private laws_8_2,paschal,1,private laws,7,1,"CHAPTER 7 An act to amend chapter seventeen of the private acts of eighteen hundred and eighty-seven, entitled an act to amend an act to incorporate the Biddle University, ratified the eighth day of February, 1887 The General Assembly of North Carolina .do enact:","That section one of chapter seventeen of the private acts of eighteen hundred and eighty-seven, entitled an act to amend an act entitled an act to incorporate the Biddle University, ratified the eighth day of February, 1887, be amended by striking out the words and others, between the words race and for, in the thirty-first line of said section, the said line being the last line but one in said section.",1
1899_public laws_505_11,paschal,1,public laws,504,10,CHAPTER 504 An act to establish Washington avenue supplemental school district. The General Assembly of North Carolina do enact :,"That the board of trustees are authored and empowered to purchase and hold for the purposes of said schools, buildings and suitable grounds or to purchase suitable lots and erect buildings thereon within the corporate limits of the Washington avenue supplemental! school district and pay for the same out of the public school money for said district: Provided, however, that said schools shall not be located nearer each other'than five hundred yards.",1
1901_public laws_498_10,paschal,1,public laws,497,9,"CHAPTER 497 ~.. An act to establish graded schools in the town of Greenville, N. C. Wye The General Assembly of North Carolina do enact:",That all the public moneys belonging to the public schools for the district in which said graded schools are located shall be appropriated and applied to the graded schools of the district herein constituted and said public moneys shall be turned over to the Board of Trustees herein named to be by them expended in the interest of the said graded schools as tney may deem best.,1
1907_public laws_366_48,paschal,1,public laws,365,47,CHAPTER 365 AN ACT TO ESTABLISH A ROAD COMMISSION AND TO IM- PROVE THE PUBLIC ROADS OF WAKE COUNTY. The General Assembly of North Carolina do enact:,"All able-bodied male persons in the county between | the ages of twenty-one and forty-five years, except such as by law | are exempted, shall be liable to work on the public roads of the } county for four days in each year at such time and place and in | such manner as may be designated by the Superintendent of / Roads: Provided, that all persons who have paid their poll tax | on or before July first, in the year succeeding that in which said | tax was levied or assessed, shall be exempted and excused from | such road work. It shall be the duty of the Sheriff of the county i j to furnish in July of each year a list of all persons who have not iH paid their poll tax for the preceding year by said time. The 4; Superintendent shall cause all such persons to be warned in for | work upon the public roads at such time and place as he may see | fit, and give to such at least three days notice by leaving written | notice at the home or place of residence, specifying the time and  place when such work is to be performed: Provided, that any person may in lieu of such work pay to the Sheriff of the county before the day on which he is summoned to work his poll tax | and costs incurred. Any person summoned to work the roads, } shall not be worked with convicts, and whites and blacks shall be worked in separate squads. No person shall be worked on | the roads more than five miles from his place of residence.",0
1927_public laws_163_6,murray,1,public laws,162,5,"CHAPTER 162 AN ACT RELATING TO THE ORGANIZATION AND CON. TROL OF THE COLORED ORPHANAGE OF NORTH CAROLINA. Whereas, by chapter forty-seven, Private Laws of one thou- sand eight hundred and eighty-seven, the colored Orphar Asylum of North Carolina was created a body corporate under and by which an orphanage for the care and maintenance, anc the mental, moral and industrial education and training of colored orphan children was established at Oxford, in Granville County; and, Whereas, the General Assembly has heretofore made ap- propriations to said institution and such appropriations have increased from year to year; and, Whereas, it is desired that the charter of said corporation be amended so that it may more readily conform to the desires of the General Assembly with respect to the expenditure of the funds appropriated by it to said institution; Now, therefore, The General Assembly of North Carolina do enact:","That the said corporation shall have power to secure the control of such orphans by the written consent of those nearest akin to them or of those having control of such orphans, and shall receive such others as may be committed to its care under the appropriate laws of the State; and it shall be unlawful for any person or persons to interfere in any way with said corporation in the management of such orphans after they shall have been entered and received by it. The Board of Directors shall make all necessary rules and regulations for the reception and discharge of children from said orphanage.",0
1941_public laws_371_5,murray,1,public laws,370,4,"CHAPTER 370 AN ACT TO PROVIDE BETTER EDUCATIONAL AD- VANTAGES FOR MEMBERS OF THE INDIAN RACE IN EASTERN NORTH CAROLINA NOT OTHERWISE PRO- VIDED FOR. WHEREAS, there are no provisions now made by the State for the education of certain Indian children of Eastern North Carolina beyond the high school grades; and WHEREAS, there are Indian schools in the Counties of Samp- son, Hoke, Scotland, Cumberland, Bladen, Person, and Harnett; and WHEREAS, the Indian children enrolled in these schools have no place provided by the State to pursue their education beyond the eleventh grade and in some instances not even past the elementary grades; and WHEREAS, ample provisions have been provided by the State for higher education and teacher training of the other races; and WHEREAS, it is the desire of the department of education that better educational advantages be provided for the Indian chil- dren, including courses of instruction in teacher training and vocational education in order that equal justice under the Con- stitution may be done toward these people: Now, therefore, The General Assembly of North Carolina do enact:","That all disbursements, including disbursements for salaries and other expenses, shall be disbursed and expended under the terms of the Executive Budget Act.",0
1941_public laws_371_6,murray,1,public laws,370,5,"CHAPTER 370 AN ACT TO PROVIDE BETTER EDUCATIONAL AD- VANTAGES FOR MEMBERS OF THE INDIAN RACE IN EASTERN NORTH CAROLINA NOT OTHERWISE PRO- VIDED FOR. WHEREAS, there are no provisions now made by the State for the education of certain Indian children of Eastern North Carolina beyond the high school grades; and WHEREAS, there are Indian schools in the Counties of Samp- son, Hoke, Scotland, Cumberland, Bladen, Person, and Harnett; and WHEREAS, the Indian children enrolled in these schools have no place provided by the State to pursue their education beyond the eleventh grade and in some instances not even past the elementary grades; and WHEREAS, ample provisions have been provided by the State for higher education and teacher training of the other races; and WHEREAS, it is the desire of the department of education that better educational advantages be provided for the Indian chil- dren, including courses of instruction in teacher training and vocational education in order that equal justice under the Con- stitution may be done toward these people: Now, therefore, The General Assembly of North Carolina do enact:","The State Board of Education shall elect a superintendent of any school established under the provisions of this Act, and fix his salary. His duties shall be outlined by the State Board of Education and he shall perform such other duties in the educational department of the State as the State Superintendent of Public Instruction may direct. His salary and expenses shall be paid out of the annual appropriation hereinafter provided for upon the requisition of the State Superintendent of Public Instruction.",0
1943_session laws_382_4,murray,1,session laws,381,3,CHAPTER 381 AN ACT PROVIDING FOR THE ESTABLISHMENT OF AN INSTITUTION FOR THE CARE OF DELINQUENT NEGRO GIRLS IN NORTH CAROLINA. The General Assembly of North Carolina do enact:,"The board of directors, with the approval of the Governor and Council of State, is authorized to secure by gift or purchase suitable real estate within the State at such place as the board may deem best for the purpose, and to erect or improve buildings thereon, for carrying out the purposes of the institution; but no real estate shall be purchased or any commitments made for the erection or permanent improvement of any buildings involving the use of State funds unless and until an appropriation for permanent improvements of the institution is expressly authorized by the General Assembly; but this prohibition shall not prevent the directors from purchasing or improving real estate from funds that may be donated for the purpose.",0
