id,source,jim_crow,type,chapter_num,section_num,chapter_text,section_text
1947_session laws_979_2,murray,1,session laws,978,1,"CHAPTER 978 AN ACT AUTHORIZING THE MEMBERS OF THE EAST- ERN BAND OF CHEROKEE INDIANS OF WESTERN NORTH CAROLINA TO HOLD, INHERIT AND ALIENATE PROPERTY, AND FURTHER SECURING TO THEM THE RIGHT OF LOCAL SELF-GOVERNMENT.  The General Assembly of North Carolina do enact:","Subject only to restrictions and conditions now existing or hereafter imposed under Federal statutes and regulations, or treaties, contracts, agreements, or conveyances between such Indians and the Federal Government, the several members of the Eastern Band of Cherokee Indians residing in Cherokee, Graham, Swain, Jackson and other adjoining counties in North Carolina, and the lineal descendants of any bona fide member of such Eastern Band of Cherokee Indians, shall inherit, purchase, or otherwise lawfully acquire, hold, use, encumber, convey and alienate by will, deed, or any other lawful means, any property whatsoever as fully and completely in all respects as any other citizen of the State of North Carolina is authorized to inherit, hold, or dispose of such property."
1935_public laws_423_3,murray,1,public laws,422,2,CHAPTER 422 AN ACT TO PROVIDE A RENTAL SYSTEM FOR TEXT- BOOKS USED IN THE PUBLIC SCHOOLS OF THE STATE AND TO PROMOTE ECONOMY AND EFFIC- IENCY IN THE ADOPTION OF TEXTBOOKS. The General Assembly of North Carolina do enact:,"Powers and duties of Commission. The said Textbook Purchase and Rental Commission is hereby authorized, empowered, and directed to promulgate rules and regulations necessary to: (1). Acquire by contract, and/or purchase, such textbooks. and instructional supplies, which are, or may be on the adopted list of the State Standard Course of Study, as the Commission may find necessary to supply the needs of the children in the Public Schools of the State. (2). Provide a system of distribution of said textbooks and supplies to the children in the Public Schools of the State, and shall distribute such books as are provided under the rental system without the use of any depository other than some agency of the State. (3). Provide for uniform rental charge for said textbooks and supplies to the children in attendance upon the Public Schools of the State. Said rental charge shall be collected annually in an amount not to exceed one-third of the cost of said textbooks and supplies: Provided nothing herein shall be construed to prevent the purchase of textbooks from said Commission needed for any child in the public schools of the State, by any parent, guardian, or person in loco parentis. (4). Provide for the use of said textbooks without charge to the indigent children of the State. (5). Adopt, provide and distribute all blanks, forms and reports necessary to Keep a careful check and record of ail the books, supplies distributed, rentals collected, indigents furnished, condition and repairs of books, and such other information as said Commission may require, to the end that an accurate and complete inventory of the affairs of said Commission may be available at all times to the Governor and Council of State. (6). Cause an annual audit to be made of the affairs of the said Commission and a certified copy of same to be furnished the Governor and Council of State. (7). Books shall not be interchangeable between the white and colored schools, but shall continue to be used by the race first using same."
1933_public laws_173_26,murray,1,public laws,172,25,"CHAPTER 172 AN ACT TO AMEND CHAPTER TWO, PUBLIC LAWS OF ONE THOUSAND NINE HUNDRED TWENTY-ONE, AND ALL ACTS AMENDATORY THEREOF AND AD- DITIONAL THERETO; AND CHAPTER ONE HUN- DRED THIRTY OF THE CONSOLIDATED STATUTES AND ALL ACTS AMENDATORY THEREOF AND AD- DITIONAL THERETO; AND TO PROVIDE FOR THE CONSOLIDATION OF THE STATE PRISON DEPART- MENT AND STATE HIGHWAY COMMISSION INTO A SINGLE DEPARTMENT TO BE KNOWN AS STATE HIGHWAY AND PUBLIC WORKS COMMISSION. The General Assembly of North Carolina do enact:","The Commission shall provide separate sleeping quarters and separate eating space for the different races and the different sexes; and, in so far as it is practical to. do so, shall provide for youthful convicts to segregate to themselves."
1927_public laws_163_5,murray,1,public laws,162,4,"CHAPTER 162 AN ACT RELATING TO THE ORGANIZATION AND CON. TROL OF THE COLORED ORPHANAGE OF NORTH CAROLINA. Whereas, by chapter forty-seven, Private Laws of one thou- sand eight hundred and eighty-seven, the colored Orphar Asylum of North Carolina was created a body corporate under and by which an orphanage for the care and maintenance, anc the mental, moral and industrial education and training of colored orphan children was established at Oxford, in Granville County; and, Whereas, the General Assembly has heretofore made ap- propriations to said institution and such appropriations have increased from year to year; and, Whereas, it is desired that the charter of said corporation be amended so that it may more readily conform to the desires of the General Assembly with respect to the expenditure of the funds appropriated by it to said institution; Now, therefore, The General Assembly of North Carolina do enact:","That the said corporation shall receive, train and care for such colored orphan children of the State of North Carolina as under the rules and regulations of said corporation may be deemed practical and expedient, and impart to them such mental, moral and industrial education as may fit them for usefulness in life."
1927_public laws_163_4,murray,1,public laws,162,3,"CHAPTER 162 AN ACT RELATING TO THE ORGANIZATION AND CON. TROL OF THE COLORED ORPHANAGE OF NORTH CAROLINA. Whereas, by chapter forty-seven, Private Laws of one thou- sand eight hundred and eighty-seven, the colored Orphar Asylum of North Carolina was created a body corporate under and by which an orphanage for the care and maintenance, anc the mental, moral and industrial education and training of colored orphan children was established at Oxford, in Granville County; and, Whereas, the General Assembly has heretofore made ap- propriations to said institution and such appropriations have increased from year to year; and, Whereas, it is desired that the charter of said corporation be amended so that it may more readily conform to the desires of the General Assembly with respect to the expenditure of the funds appropriated by it to said institution; Now, therefore, The General Assembly of North Carolina do enact:","That the five members of said Board of Directors so appointed by the Governor shall also serve as a Board of Trustees of said The Colored Orphanage of North Carolina. The said Board of Trustees so appointed shall serve for a term of four years and until their successors are chosen. All appropriations made by the General Assembly to the said The Colored Orphanage of North Carolina shall be under the control of the Board of Trustees, and said appropriations shall be expended under their supervision and direction. The Board of Trustees shall select one of their members as a treasurer of the fund appropriated to the institution by the General Assembly and also not more than two persons to act as a board to. audit the expenditure of such appropriation. The treasurer shall receive a salary of one hundred dollars per year for his services and members of the Board of Audit a salary not to exceed one hundred and fifty dollars per year. The Treasurer shall give a bond payable to the State of North Carolina in a surety company in such sum as the Board of Trustees may require, the annual premium to be paid out of the funds of the said orphanage."
1927_public laws_163_3,murray,1,public laws,162,2,"CHAPTER 162 AN ACT RELATING TO THE ORGANIZATION AND CON. TROL OF THE COLORED ORPHANAGE OF NORTH CAROLINA. Whereas, by chapter forty-seven, Private Laws of one thou- sand eight hundred and eighty-seven, the colored Orphar Asylum of North Carolina was created a body corporate under and by which an orphanage for the care and maintenance, anc the mental, moral and industrial education and training of colored orphan children was established at Oxford, in Granville County; and, Whereas, the General Assembly has heretofore made ap- propriations to said institution and such appropriations have increased from year to year; and, Whereas, it is desired that the charter of said corporation be amended so that it may more readily conform to the desires of the General Assembly with respect to the expenditure of the funds appropriated by it to said institution; Now, therefore, The General Assembly of North Carolina do enact:","That M. F. Thornton, Reverend M. C. Ransom, J. W. Levy, J. C. Jeffreys, J. E. Shepard, N. A. Cheek and Alex Peace and Reverend G. C. Shaw are hereby named and appointed as members of the Board of Directors of said The Colored Orphanage of North Carolina. The Governor of North Carolina shall appoint five white citizens of Granville County as members of said Board of Directors, and the thirteen so named shall constitute the Board of Directors of said corporation. Said Board of Directors shall organize by the election of a president and secretary, shall make all necessary by-laws and regulations for the convenient and efficient management and control of the affairs of said corporation, including the method by which successors to the directors herein named shall be chosen. 33Pub. Laws."
1925_public laws_307_15,murray,0,public laws,306,14,"CHAPTER 306 AN ACT TO PROVIDE UNIFORMITY IN THE APPOINTMENT OF BOARDS OF TRUSTEES, DIRECTORS AND MANAGERS OF VARIOUS INSTITUTIONS MAINTAINED BY THE STATE, AND TO AMEND CERTAIN SECTIONS OF THE CON- SOLIDATED STATUTES RELATING THERETO, AND TO REPEAL CERTAIN STATUTES NOW IN FORCE RELATING THERETO. The General Assembly of North Carolina do enact:","The Governor shall have the power to remove any member of any of the boards of the institutions herein named, by whatsoever name called, whenever in his opinion it is to the best interest of the State to remove such person, and th yovernor shall not be required to give any reason for such removal."
1925_public laws_307_14,murray,0,public laws,306,13,"CHAPTER 306 AN ACT TO PROVIDE UNIFORMITY IN THE APPOINTMENT OF BOARDS OF TRUSTEES, DIRECTORS AND MANAGERS OF VARIOUS INSTITUTIONS MAINTAINED BY THE STATE, AND TO AMEND CERTAIN SECTIONS OF THE CON- SOLIDATED STATUTES RELATING THERETO, AND TO REPEAL CERTAIN STATUTES NOW IN FORCE RELATING THERETO. The General Assembly of North Carolina do enact:","Each of the directors, trustees, managers or other persons whose appointments are herein provided for shall hold office until his or her successor or successors have been appointed and qualified according to law."
1925_public laws_307_10,murray,1,public laws,306,9,"CHAPTER 306 AN ACT TO PROVIDE UNIFORMITY IN THE APPOINTMENT OF BOARDS OF TRUSTEES, DIRECTORS AND MANAGERS OF VARIOUS INSTITUTIONS MAINTAINED BY THE STATE, AND TO AMEND CERTAIN SECTIONS OF THE CON- SOLIDATED STATUTES RELATING THERETO, AND TO REPEAL CERTAIN STATUTES NOW IN FORCE RELATING THERETO. The General Assembly of North Carolina do enact:","Trustees for Elizabeth City State Normal School at Elizabeth City; the Fayetteville State Normal School at Fayetteville; Cherokee Indian Normal School at Pembroke; State Teachers College for Negroes at Winston-Salem. The Governor shall appoint for each of the following institutions: The Elizabeth City State Normal School at Elizabeth City, the Fayetteville State Normal School at Fayetteville; Cherokee Indian Normal School at Pembroke; State Teachers College for Negroes at Winston-Salem, nine -9 trustees, five of whom shall be appointed within thirty days from the passage of this act and four of whom shall be appointed within six months from the passage of this act. At the time of making such appointment the Governor shall name which of the present boards are to be succeeded by his appointees. The terms of the said trustees shall be four years from the date of their appointment. The Governor shall fill all vacancies. The Governor shall transmit to the Senate at the next session of the General Assembly following his appointment the names of persons appointed by him for confirmation. Sec. 9 (a). Trustees or directors of the North Carolina College for Negroes at Durham. There shall be twelve -12 trustees for the North Carolina College for Negroes at Durham. Within thirty days from the passage of this act the Governor shall appoint seven -7 members for each of said boards and within six months from the passage of this act the Governor shall appoint five -5 members for each of said boards. At the time of making such appointments he shall designate the members of the present board who are to be succeeded by his appointees.< All vacancies are to be filled by the Governor. The Governor shall transmit to the Senate at the next session of the General Assembly following his appointment the names of the persons appointed by him for confirmation."
1917_public laws_232_7,murray,1,public laws,200,6,CHAPTER 200 AN ACT TO REVISE THE MILITARY LAWS OF THE STATE OF NORTH CAROLINA AND TO INCREASE THE EFFI- CIENCY OF THE MILITIA. The General Assembly of North Carolina do enact:,"White and Colored Enrolled SeparatelyThe white and colored militia shall be separately enrolled, and shall never be compelled to serve in the same organization. No organization of colored troops shall be permitted where white troops are available, and while permitted to be organized, colored troops shall be under command of white officers."
