left	top	width	height	conf	text	name
0	0	1884	2565	-1		lawsresolutionso1891nort_0771.jpg
207	205	1474	2151	-1		lawsresolutionso1891nort_0771.jpg
207	205	1474	1005	-1		lawsresolutionso1891nort_0771.jpg
209	205	1472	48	-1		lawsresolutionso1891nort_0771.jpg
209	213	41	32	95	in	lawsresolutionso1891nort_0771.jpg
266	212	83	34	95	said	lawsresolutionso1891nort_0771.jpg
365	213	118	40	95	town,	lawsresolutionso1891nort_0771.jpg
501	211	79	34	95	and	lawsresolutionso1891nort_0771.jpg
607	212	66	32	96	the	lawsresolutionso1891nort_0771.jpg
690	211	82	33	96	said	lawsresolutionso1891nort_0771.jpg
797	220	136	33	96	mayor	lawsresolutionso1891nort_0771.jpg
957	210	77	33	96	and	lawsresolutionso1891nort_0771.jpg
1058	210	307	33	95	commissioners	lawsresolutionso1891nort_0771.jpg
1387	208	100	34	95	shall	lawsresolutionso1891nort_0771.jpg
1509	217	113	24	95	cause	lawsresolutionso1891nort_0771.jpg
1645	205	36	36	43	a	lawsresolutionso1891nort_0771.jpg
210	264	1459	47	-1		lawsresolutionso1891nort_0771.jpg
210	268	245	43	96	registration	lawsresolutionso1891nort_0771.jpg
480	268	41	34	95	of	lawsresolutionso1891nort_0771.jpg
544	268	66	33	96	the	lawsresolutionso1891nort_0771.jpg
635	267	183	44	96	qualified	lawsresolutionso1891nort_0771.jpg
841	269	127	31	96	voters	lawsresolutionso1891nort_0771.jpg
991	269	40	31	96	to	lawsresolutionso1891nort_0771.jpg
1056	266	47	34	96	be	lawsresolutionso1891nort_0771.jpg
1127	267	113	33	94	made	lawsresolutionso1891nort_0771.jpg
1255	276	41	23	94	as	lawsresolutionso1891nort_0771.jpg
1313	276	88	23	95	now	lawsresolutionso1891nort_0771.jpg
1416	264	178	44	96	required	lawsresolutionso1891nort_0771.jpg
1618	264	51	42	96	by	lawsresolutionso1891nort_0771.jpg
207	318	1463	52	-1		lawsresolutionso1891nort_0771.jpg
207	328	77	34	96	law	lawsresolutionso1891nort_0771.jpg
299	328	78	33	96	and	lawsresolutionso1891nort_0771.jpg
394	327	98	34	96	shall	lawsresolutionso1891nort_0771.jpg
507	328	161	42	96	appoint	lawsresolutionso1891nort_0771.jpg
694	327	108	33	96	three	lawsresolutionso1891nort_0771.jpg
829	318	160	42	96	electors	lawsresolutionso1891nort_0771.jpg
1016	327	42	32	96	of	lawsresolutionso1891nort_0771.jpg
1081	326	83	33	96	said	lawsresolutionso1891nort_0771.jpg
1190	328	107	31	96	town	lawsresolutionso1891nort_0771.jpg
1325	336	41	23	95	as	lawsresolutionso1891nort_0771.jpg
1392	325	211	43	96	inspectors	lawsresolutionso1891nort_0771.jpg
1626	334	44	24	97	or	lawsresolutionso1891nort_0771.jpg
209	380	1462	47	-1		lawsresolutionso1891nort_0771.jpg
209	384	235	43	96	supervisors	lawsresolutionso1891nort_0771.jpg
473	384	41	33	96	of	lawsresolutionso1891nort_0771.jpg
537	384	82	33	96	said	lawsresolutionso1891nort_0771.jpg
643	384	173	33	96	election.	lawsresolutionso1891nort_0771.jpg
867	383	122	33	95	Those	lawsresolutionso1891nort_0771.jpg
1013	383	41	32	96	in	lawsresolutionso1891nort_0771.jpg
1073	380	121	36	92	favor	lawsresolutionso1891nort_0771.jpg
1211	383	42	33	92	of	lawsresolutionso1891nort_0771.jpg
1276	382	146	42	96	issuing	lawsresolutionso1891nort_0771.jpg
1445	382	82	33	96	said	lawsresolutionso1891nort_0771.jpg
1550	381	121	34	96	bonds	lawsresolutionso1891nort_0771.jpg
208	438	1462	45	-1		lawsresolutionso1891nort_0771.jpg
208	441	98	33	96	shall	lawsresolutionso1891nort_0771.jpg
321	443	88	31	96	vote	lawsresolutionso1891nort_0771.jpg
425	451	23	23	96	a	lawsresolutionso1891nort_0771.jpg
464	441	157	33	96	written	lawsresolutionso1891nort_0771.jpg
637	451	43	23	96	or	lawsresolutionso1891nort_0771.jpg
695	440	154	43	95	printed	lawsresolutionso1891nort_0771.jpg
873	440	121	33	96	ticket	lawsresolutionso1891nort_0771.jpg
1020	440	97	33	96	with	lawsresolutionso1891nort_0771.jpg
