left	top	width	height	conf	text	name
0	0	1888	3023	-1		lawsresolutionso1891nort_0272.jpg
210	208	1470	2606	-1		lawsresolutionso1891nort_0272.jpg
211	208	1466	658	-1		lawsresolutionso1891nort_0272.jpg
211	208	1460	44	-1		lawsresolutionso1891nort_0272.jpg
211	210	173	42	96	petition,	lawsresolutionso1891nort_0272.jpg
417	212	40	31	96	to	lawsresolutionso1891nort_0272.jpg
495	209	66	34	96	the	lawsresolutionso1891nort_0272.jpg
592	208	142	44	96	capital	lawsresolutionso1891nort_0272.jpg
772	209	109	33	96	stock	lawsresolutionso1891nort_0272.jpg
912	209	42	32	96	of	lawsresolutionso1891nort_0272.jpg
981	208	82	34	96	said	lawsresolutionso1891nort_0272.jpg
1094	209	175	40	96	Norfolk,	lawsresolutionso1891nort_0272.jpg
1306	208	259	43	95	Wilmington	lawsresolutionso1891nort_0272.jpg
1596	209	75	33	96	and	lawsresolutionso1891nort_0272.jpg
213	265	1464	43	-1		lawsresolutionso1891nort_0272.jpg
213	266	226	34	96	Charleston	lawsresolutionso1891nort_0272.jpg
465	266	178	33	95	Railroad	lawsresolutionso1891nort_0272.jpg
673	265	212	43	96	Company,	lawsresolutionso1891nort_0272.jpg
904	265	66	34	96	the	lawsresolutionso1891nort_0272.jpg
998	265	118	34	96	board	lawsresolutionso1891nort_0272.jpg
1140	266	41	32	96	of	lawsresolutionso1891nort_0272.jpg
1205	265	306	34	96	commissioners	lawsresolutionso1891nort_0272.jpg
1538	265	139	33	96	within	lawsresolutionso1891nort_0272.jpg
212	322	1465	43	-1		lawsresolutionso1891nort_0272.jpg
212	323	120	42	96	thirty	lawsresolutionso1891nort_0272.jpg
349	323	94	42	96	days	lawsresolutionso1891nort_0272.jpg
467	322	97	34	96	shall	lawsresolutionso1891nort_0272.jpg
581	322	112	34	95	order	lawsresolutionso1891nort_0272.jpg
708	332	50	23	95	an	lawsresolutionso1891nort_0272.jpg
782	322	163	33	96	election	lawsresolutionso1891nort_0272.jpg
962	324	40	31	96	to	lawsresolutionso1891nort_0272.jpg
1025	322	46	33	96	be	lawsresolutionso1891nort_0272.jpg
1095	322	89	33	96	held	lawsresolutionso1891nort_0272.jpg
1208	324	41	31	96	at	lawsresolutionso1891nort_0272.jpg
1273	322	66	33	96	the	lawsresolutionso1891nort_0272.jpg
1354	322	153	33	95	various	lawsresolutionso1891nort_0272.jpg
1530	322	147	43	96	polling	lawsresolutionso1891nort_0272.jpg
212	369	1465	53	-1		lawsresolutionso1891nort_0272.jpg
212	369	125	53	96	places	lawsresolutionso1891nort_0272.jpg
354	380	42	32	97	of	lawsresolutionso1891nort_0272.jpg
419	379	82	33	96	said	lawsresolutionso1891nort_0272.jpg
518	381	145	40	96	county	lawsresolutionso1891nort_0272.jpg
679	388	42	24	96	or	lawsresolutionso1891nort_0272.jpg
738	378	195	43	96	township	lawsresolutionso1891nort_0272.jpg
957	379	77	32	96	and	lawsresolutionso1891nort_0272.jpg
1051	378	145	34	93	submit	lawsresolutionso1891nort_0272.jpg
1211	379	123	33	92	to-the	lawsresolutionso1891nort_0272.jpg
1350	378	183	43	96	qualified	lawsresolutionso1891nort_0272.jpg
1549	381	128	32	96	voters	lawsresolutionso1891nort_0272.jpg
213	428	1464	50	-1		lawsresolutionso1891nort_0272.jpg
213	436	150	33	96	thereof	lawsresolutionso1891nort_0272.jpg
387	436	66	33	95	the	lawsresolutionso1891nort_0272.jpg
469	428	177	50	95	question	lawsresolutionso1891nort_0272.jpg
663	435	41	33	96	of	lawsresolutionso1891nort_0272.jpg
728	434	239	43	96	subscribing	lawsresolutionso1891nort_0272.jpg
990	437	40	31	96	to	lawsresolutionso1891nort_0272.jpg
1046	436	66	32	96	the	lawsresolutionso1891nort_0272.jpg
1129	435	142	43	96	capital	lawsresolutionso1891nort_0272.jpg
1295	435	109	34	96	stock	lawsresolutionso1891nort_0272.jpg
1421	436	40	32	96	of	lawsresolutionso1891nort_0272.jpg
1485	435	82	34	93	said	lawsresolutionso1891nort_0272.jpg
1590	436	87	33	92	rail-	lawsresolutionso1891nort_0272.jpg
212	492	1465	43	-1		lawsresolutionso1891nort_0272.jpg
212	493	93	33	96	road	lawsresolutionso1891nort_0272.jpg
