chap_title,chapter_index,raw_num,corrected_num,correction_made,flag,gap
CHAPTER 1.,2,1,1,FALSE,TRUE,
CHaprer 12.,3,,,FALSE,TRUE,
CHAPTER 2.,4,2,2,FALSE,TRUE,
CHAPTER 3.,5,3,3,FALSE,TRUE,
CHAPTER 4.,6,4,4,FALSE,TRUE,
CHAPTER 5.,7,5,5,FALSE,TRUE,
CHAPTER 6.,8,6,6,FALSE,TRUE,
CHAPTER 6&8.,9,,,FALSE,TRUE,
CHAPTER 9.,10,9,9,FALSE,TRUE,
CHAPTER 10.,11,10,10,FALSE,TRUE,
CHAPTER 14.,12,14,14,FALSE,TRUE,3
CHAPTER 15.,13,15,15,FALSE,TRUE,
CHAPTER 16.,14,16,16,FALSE,TRUE,
CHAPTER 17.,15,17,17,FALSE,FALSE,
CHAPTER 18.,16,18,18,FALSE,FALSE,
CHAPTER 19.,17,19,19,FALSE,FALSE,
CHAPTER 20.,18,20,20,FALSE,FALSE,
CHAPTER 21.,19,21,21,FALSE,FALSE,
CHAPTER 22.,20,22,22,FALSE,FALSE,
CHAPTER 23.,21,23,23,FALSE,FALSE,
CHAPTER 24.,22,24,24,FALSE,FALSE,
CHAPTER 25.,23,25,25,FALSE,FALSE,
CHAPTER 26.,24,26,26,FALSE,FALSE,
CHAPTER 27.,25,27,27,FALSE,FALSE,
CHAPTER 28.,26,28,28,FALSE,FALSE,
CHAPTER 29.,27,29,29,FALSE,FALSE,
CHAPTER 30.,28,30,30,FALSE,FALSE,
CHAPTER 31.,29,31,31,FALSE,FALSE,
CHAPTER 382.,30,382,32,TRUE,FALSE,
CHAPTER 33.,31,33,33,FALSE,FALSE,
CHAPTER 34.,32,34,34,FALSE,FALSE,
CHAPTER 35.,33,35,35,FALSE,FALSE,
