chap_title,raw_num,chapter_index,corrected_num,correction_made,flag
CHAPTER 1.0,1,2,1,FALSE,TRUE
CHaprer 1—2.,,3,,FALSE,TRUE
CHAPTER 2.0,2,4,2,FALSE,TRUE
CHAPTER 3.0,3,5,3,FALSE,TRUE
CHAPTER 4.0,4,6,4,FALSE,TRUE
CHAPTER 5.0,5,7,5,FALSE,TRUE
CHAPTER 6.0,6,8,6,FALSE,TRUE
CHAPTER 6&8.,,9,,FALSE,TRUE
CHAPTER 9.0,9,10,9,FALSE,TRUE
CHAPTER 10.0,10,11,10,FALSE,TRUE
CHAPTER 11.0,11,12,11,FALSE,TRUE
CHAPTER 13.0,13,13,13,FALSE,TRUE
CHAPTER 14.0,14,14,14,FALSE,TRUE
CHAPTER 15.0,15,15,15,FALSE,TRUE
CHAPTER 16.0,16,16,16,FALSE,FALSE
CHAPTER 17.0,17,17,17,FALSE,FALSE
CHAPTER 18.0,18,18,18,FALSE,FALSE
CHAPTER 19.0,19,19,19,FALSE,FALSE
CHAPTER 20.0,20,20,20,FALSE,FALSE
CHAPTER 21.0,21,21,21,FALSE,FALSE
CHAPTER 22.0,22,22,22,FALSE,FALSE
CHAPTER 23.0,23,23,23,FALSE,FALSE
CHAPTER 24.0,24,24,24,FALSE,FALSE
CHAPTER 25.0,25,25,25,FALSE,FALSE
CHAPTER 26.0,26,26,26,FALSE,FALSE
CHAPTER 27.0,27,27,27,FALSE,FALSE
CHAPTER 28.0,28,28,28,FALSE,FALSE
CHAPTER 29.0,29,29,29,FALSE,FALSE
CHAPTER 30.0,30,30,30,FALSE,FALSE
CHAPTER 31.0,31,31,31,FALSE,FALSE
CHAPTER 32.0,32,32,32,FALSE,FALSE
CHAPTER 33.0,33,33,33,FALSE,FALSE
CHAPTER 34.0,34,34,34,FALSE,FALSE
CHAPTER 35.0,35,35,35,FALSE,FALSE
