chapter,chapter_index,section,section_index,text,first_jpg_url,pdf_url
Paratextual,1,Paratextual,1,=> PUBLIC LAWS | OF THE State of North Carolina. SESSION 1899,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0073.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0073
CHAPTER 1.0,2,Chapter_Title,1,"CHAPTER 1 An act to revise, consolidate and amend the insanity laws of this state. The General Assembly of North Carolina do enact: _",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0073.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0073
CHAPTER 1.0,2,SECTION 1.,2,"SECTION 1 That the hospital for the insane, located near Morgan- ton, shall be and remain a corporation under this name:  The State Hospital at Morganton. The hospital for the insane, located near Raleigh, shall be and remain a corporation under this name:  The State Hospital at Raleigh. The hospital for the insane, located near Goldsboro, shall be and remain a corporation under this name: The State Hospital at Goldsboro. Under such name each corporation lis invested with all the property and rights heretofore held by each, funder whatsoever name called or incorporated, and all other corpo- rate names are hereby abolished. Hereafter in this act, when the jabove names are used, they shall be deemed to relate back to and include the corporation, under whatsoever name it might heretofore have had.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0073.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0073
CHAPTER 1.0,2,Sec. 2.,3,"Sec. 2 The State Hospital at Morganton, and the State Hospital at Raleigh, and the State Hospital at Goldsboro, may each acquire and hold, for the.purpose of its institution, real and personal prop- et , by devise, bequest or by any manner of gift, purchase or con- eeince whatsoever.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0073.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0073
CHAPTER 1.0,2,Sec. 3.,4,"Sec. 3 The State Hospital at Morganton, and the State Hospital jat Raleigh, shall be exclusively for the accommodation, maintenance, ieare and treatment of the white insane and inebriates of this state, and the State Hospital at Goldsboro shall be exclusively for the ac- commodation, maintenance, care and treatment of the colored insane and inebriates of this state.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0073.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0073
CHAPTER 1.0,2,SEC. 4.,5,"SEC. 4 gihe line heretofore agreed upon by the directors of the \State E spital at Morganton, and the State Hospital at Raleigh, shall bg the line of division between the territories of the said hos- pi nd white insane persons and inebriates settled in counties to west of said line shall be admitted only into the State Hospital at Morganton, and white insane persons and inebriates settled in coun- ties to the east of said line shall be admitted only into the State Hospital at Raleigh. The board of directors of these two hospitals may, by agreement, change said line from time to time whenever in their opinion such change may be proper, and they may, by agree- ment, transfer patients from one hospital to the other when such transfer may be deemed advantageous. That portion of the state which is or may hereafter be west of said division line shall be known as the Western Hospital District, and that portion of the state which is or may hereafter be east of said line shall be known as the Eastern Hospital District.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0073.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0073
CHAPTER 1.0,2,Src. 5.,6,"Src. 5 Each corporation shall be under the management of a board of nine directors, no two of whom shall be resident of the same county, nominated by the governor and by and with the advice and consent of a majority of the senators-elect, appointed by him, of whom five directors shall be a quorum, except when three of their number are hereby in this law empowered to act for special purpo- ses. Each board of directors shall be in classes of three, as they are now divided, and the term of office of such classes shall expire as follows: those of the first class, on the first day of April, nineteen hundred and one; of the second class, on the first day of April, nineteen hundred and three; and of the third class, on the first day of April, nineteen hundred and five. At the expiration of their said respective terms of office, all appointments shall be for a term of six years, except such as are made to fill unexpired terms. Every va- cancy occurring in any board of directors at a time when the gen- eral assembly shall not be in session, shall be filled by an election held by the remaining members of the board at their next regular meeting after the vacancy occurs, and the person thus elected shall hold office until his successor shall have been appointed by the gov- ernor and confirmed by the senate as aforesaid, at the next regular meeting of the general assembly,",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0074.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0074
CHAPTER 1.0,2,Src. 6.,7,"Src. 6 Each board of directors shall, out of their number, appoint three members as an executive committee, who shall hold their re- spective offices as such for one year, and shall have such powers and be subject to such duties as the board of directors may delegate to them.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0074.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0074
CHAPTER 1.0,2,Src. 7.,8,"Src. 7 Each board of directors shall directand manage the affairs of their institution and shall for its purposes have power to receive,. hold, manage, convey, or otherwise dispose of, in the name of their institution, all such property or estate as may hereafter be given or) otherwise be conveyed to their corporation ; and the members of each board shall serve without reward, save their traveling expenses incurred in the discharge of their official duties.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0074.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0074
CHAPTER 1.0,2,Src. 8.,9,"Src. 8 Each board of directors shall convene at the [hospital of. which it has charge, on the first Wednesday after the first Monday in April of each year, and at such other times as they shall appoint, and investigate the administration of its affairs, and report on the same to the general assembly, with such remarks and recommenda- tions as to them shall seem expedient.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0074.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0074
CHAPTER 1.0,2,Sc. 9.,10,"Sc. 9 Each board of directors shall appoint a superintendent of their institution and prescribe his duties. He shall bea skilled phy- sician, educated to his profession, of good moral character, of prompt business habits, and of kindly disposition. He shall hold office for six years from and after his appointment, unless sooner removed by said board, who may, for infidelity to his trust, gross immorality or incompetency to discharge the duties of his office, fully proved and declared, and the proofs thereof recorded in the book of their pro- ceedings, remove him and appoint another in his place.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0075.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0075
CHAPTER 1.0,2,Sec. 10.,11,"Sec. 10 Each board of directors shall appoint one or more assist- ant physicians, and with the advice and consent of the superintend- ent, prescribe his duties. The superintendent may, with the advice and consent of the executive committee of the board of directors, for insubordination, immorality, neglect of duty, or incompetency, suspend an assistant physician until a meeting of the board of di- rectors can be called, which meeting shall be called as soon as prac- ticable, in no event later than thirty days, when any charges pre- ferred by the superintendent are to be investigated, and such action taken as the board may deem best. Every assistant physician shall hold his place for two years from and after his appointment, unless sooner removed for good cause, which shall be specified and recorded in their proceedings.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0075.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0075
CHAPTER 1.0,2,Sec. 11.,12,"Sec. 11 Each board of directors at their annual meeting shall, on nomination of the superintendent, appoint a steward, and if they shall think proper to do so, a matron also, who shall hold their places for one year, unless sooner suspended or removed by the superin- tendent or board of directors for good cause, in which case their successors shall be nominated and appointed for the unexpired terms of those removed. The method of procedure for the suspension and removal of assistant physician, contained in the preceding section of this act, shall be followed in the suspension and removal of any stewardormatron. Thesteward, before entering upon the discharge of his duties, shall execute to the hospital a bond in the sum of two thousand and five hundred dollars, with sureties to be approved by the board of directors, conditioned for the faithful administration of his duties, and the proper accounting and disbursement of all money and property coming into his hands. The state treasurer shall be treasurer of said corporations. The state treasurer shall keep all accounts of the institutions, and shall pay out all moneys upon the warrant of the respective superintendents, countersigned by two members of the board of directors, under such rules and regulations as the respective boards may establish.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0075.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0075
CHAPTER 1.0,2,Sec. 12.,13,"Sec. 12 Each board of directors shall fix the salaries and compen- sation of the superintendent, and the officers and employees whose services may be necessary for the management of the hospital under charge of said board: Provided, that the salaries shall not be dimin- ished during the term of the incumbents: Provided further, that the salary of the superintendent shall be a sum certain, without other compensation or allowance, except such rooms in the hospital for the use of his family, and such articles of food produced on the premises as said board of directors may permit. ame",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0076.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0076
CHAPTER 1.0,2,Sec. 13.,14,"Sec. 13 Each superintendent shall exercise exclusive direction and control over all the subordinate officers and employees engaged in the service and labors of his hospital, and he may discharge such as have been employed by himself or his predecessors, and shall re- port to the board of directors of his hospital the misconduct of all subordinates. |",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0076.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0076
CHAPTER 1.0,2,Src. 14.,15,"Src. 14 Each board of directors shall make all such by-laws and regulations for the government of their institutions as shall be nec- essary ; among which regulations shall be such as shall make the institution as nearly self-supporting as is consistent with the pur- pose of its creation. The board shall cause the by-laws and regula- tions, the report of the superintendent, and that of the treasurer, to be published with their report to the general assembly, copies of which shall be sent to the clerk of the superior [court] of every county in the state.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0076.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0076
CHAPTER 1.0,2,Sec. 15.,16,"Sec. 15 For admission into a state hospital, the following proceed- ings shall be had: Some respectable citizen, residing in the county of the alleged insane person, shall make before and file with the clerk of the superior court of the county, an affidavit in writing, which shall be substantially in the following form: State OF NORTH CAROLINA, Ly yeaa Sle County. The undersigned, residing in said county, makes oath that he has carefully examined ___._____- and believes him to be an insane per- son, and to be, in the opinion of the undersigned, a fit subject for admission into a hospital for the insane. Dated .... day of ..--.- 7A. D) ae _ Sworn and subscribed before -_.....--- , Clerk superior court. Whereupon, unless the person in whose care or custody the insane person is, will agree to bring him before said clerk without a war- rant, or unless the clerk shall be of the opinion that it will be inju- rious to the insane person to be brought before him, the clerk shall issue a precept, directed to the sheriff or other lawful officer, sub- stantially in the following form : STaTE OF NORTH CAROLINA. To the Sheriff or other lawful officer of -.---- county Greeting : Whereas, information on oath, has been laid before me that ------ is insane, you are hereby commanded to bring him before me within the next ten days that necessary proceedings may be had thereon. Given under my hand .--- day of ------ TEAR D) Ss 2 eae aaNet , Clerk superior court. - If the alleged insane person be confined in jail otherwise than for crime, the sheriff shall remove him from the jail upon the order from the clerk. Upon the bringing of the alleged insane person before the clerk by his friends, or upon the return of the precept with the body of [the] insane person, the clerk shall call to his assistance the county physician of said county, or some other licensed and reputa- ble physician, resident of this state, and shall proceed to exam- ine into the condition of mind of the alleged insane. person; he shall take testimony of at least one licensed physician, resident of this state, and if possible, a member of the family, or some friend or person acquainted with the alleged insane person, who has had op- portunities to observe him after such insanity is said to have begun. If the clerk, after his examination of: the alleged insane person, and the hearing of the testimony as aforesaid, shall decide that such person is sane, he shall forthwith discharge him. If he shall decide that such person is insane, and some friend, as he may do, will not become bound with good security, in an amount to be fixed by the clerk, to restrain him from committing injuries, and to keep, sup- port and take care of: him until the cause for confinement shall cease, he shall direct such insane person to be removed to the proper hos- pital as a patient, and to that end he shall direct a warrant to the sheriff, or other officer, and at the same time shall transmit to the proper board of directors the examination of the witnesses, and the statement of such facts as he shall deem pertinent to the subject matter, which warrant shall be substantially as follows: STATE OF NORTH CAROLINA. To the Sheriff or other lawful officer of ---. countyGreeting : Whereas, it has been made to satisfactorily appear to me clerk of the superior court of said county, that .._.__.__- , a citizen of the state, is an insane person, that he has a legal settlement in said county, and is a fit subject for a state hospital, and that his being at large is injurious to himself and disadvantageousif not dan- gerous to the community: you are hereby commanded to take the emits 625 12.501 h , and convey him to the proper hospital, and there deliver him to the superintendent thereof for safe keeping. Given under my hand this -._- day of If the clerk of the court shall be of the opinion that it will be in- jurious to the alleged insane person to be brought before him, the clerk shall proceed to the residence or habitation of said person and take the examination there. In a case of emergency, when for any reason the clerk of the court can not go oris absent from the county, then any justice of the peace is hereby authorized to proceed in like manner by taking the testimony of the physician and other witnesses, as is before provided for in this section, and report the same to the clerk. If the clerk is satisfied- that the alleged insane person is a fit subject for a hospital for the insane, he shall issue an order for hiscommitment. In cases of great emergency or inconvenience, the said justice may commit a patient to a hospital, and the superintendent is authorized to re- ceive him, but the justice shall procure an order from the clerk to be forwarded to the superintendent within thirty days. The follow- ing fees shall be allowed to the officers who make the examination and they shall be paid by the county in which the alleged insane person is settled: to the clerk or justice who makesthe examination, two dollars, and if the clerk goes to the home of the insane person, he shall be entitled, in addition to this sum, to five centsa mile each way. This shall cover his entire cost in taking the examination, and making out the necessary papers. The physician called in the absence of the county physician, shall be entitled to two dollars with mileage. The sheriff shall be entitled to such fees as are now allowed by law for the service of process of similar character. The county physician, being a salaried officer, is not allowed any fee for his services in this examination.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0076.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0076
CHAPTER 1.0,2,Szc. 16.,17,"Szc. 16 Whenever any citizen or resident of this state becomes suddenly or violently insane, in some county other than that of his settlement, the proper authorities, as hereinbefore provided, of any county in which he shall be, shall have authority to examine him, and if necessary commit him to the hospital to which he would be sent had he been committed from the county of his own settlement. Tmmediately upon the commitment to a hospital of any such person, a transcript of the proceedings shall be sent to the clerk of the county in which he is settled, and that county shall pay over to that county from which he was committed, all the cost of the ex- amination and commitment, and if the board of commissioners of the county of the settlement shall fail to pay all proper expense of said proceedings within sixty days after the claim shall have been presented, they shall forfeit and pay to the county which committed the insane person the sum of two hundred and fifty dollars, to be recovered bythe commissioners of that county in a,civil action brought in the superior court of that county from which the patient was committed to the hospital, against the commissioners of the other county. If any person not a citizen or resident of this state, but a citizen and resident of another state of the United States) shall be ascertained to be insane, the clerk of the court shall imme- diately notify the governor of the state of which the insane person is a citizen, of the facts and circumstances by letter (or telegraphic message if he thinks proper), and for a reasonable length of time the insane person shall be kept confined or restrained in said county> but shall not be committed to any state hospital, and if the state of his citizenship shall not provide for the removal from this state to his proper state of the insane person within a reasonable time, the county commissioners of the county in which he shall have been ascertained to be an insane person, shall cause him to be conveyed to the state of which he is a citizen and delivered there to the sheriff of his county or to the superintendent of any state hospital. The cost of such proceedings and conveyance away from this state shall be borne by the county in which the person shall have been adjudged to be insane. If any person, not a citizen of the United States, shall be ascertained to be insane, the clerk of the court shall imme- diately notify the governor of this state of the name of the insane person, the country of which he is a citizen, and his place of resi- dence in said country if the same can be ascertained, and such other facts in the case as he may obtain, together with a copy of the ex- amination taken; and the governor shall transmit said information and examination to the secretary of stateat Washington, D. C., with the request that he inform the minister resident or plenipotentiary of the country of which the insane person is supposed to b@a citizen.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0078.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0078
CHAPTER 1.0,2,Sec. 17.,18,"Sec. 17 The clerk will keep a record of all examinations of persons alleged to be insane, and he shall record in such record a brief sum- mary of the proceedings and of his findings, and whenever a justice of the peace shall transmit to the clerk a report of his proceedings (when he shall have examined a person under the powers granted under this act), the clerk shall make a record of his proceedings, and for recording the justices proceedings he shall be entitled to a fee of twenty-five cents, to be paid by the county aforesaid, and he shall keep a record of all probations and discharges provided for in section twenty-two of this act.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0079.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0079
CHAPTER 1.0,2,Sec. 18.,19,"Sec. 18 No clerk of the court or justice of the peace shall com- mit to a hospital any person who is not a bona fide citizen and resi- dent of this state; and no person who shall have removed into this state from another state while insane, shall be deemed a resident or citizen of this state, and no length of residence in this state of a person who was insane at the time he moved into this state, shall be sufficient to make that person a citizen or resident of North Caro- lina within the meaning of thislaw. In every examination of an alleged insane person it shall be the duty of the clerk or justice of the peace to particularly inquire whether the alleged insane person is a resident of this state,as hereinbefore set forth, and he shall state his findings upon the subject in his report to the superintend- ent of the hospital. If it is not possible to ascertain the legal res- idence of the alleged insane person, and the clerk or justice of the peace shall be of the opinion that the insane person is a resident of this state, within the meaning of this law, he shall state that he was unable to ascertain the legal residence of the insane person, and shall commit him to the hospital of his district. If any clerk or jus- tice of the peace shall knowingly commit to any hospital a person who is not a bona fide citizen and resident of this state, he shall be guilty of a misdemeanor, and upon conviction shall be fined or im- prisoned at the discretion of the court. No cretin or idiot shall be committed to any hospital, and for the purpose of this act, an idiot is defined to be a person born deficient or who became deficient be- fore the full completion of the twelfth year of age.",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0079.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0079
CHAPTER 1.0,2,Src. 19.,20,"Src. 19 The following questions with their respective answers, by at least one. licensed physician, resident of this state, and such other competent witnessesas the clerk or justice shall determine, duly sworn and subscribed by them, and so certified by said clerk or jus- tice, shall be transmitted with the other papers to the superintend- ent of the proper hospital, to be reported as soon as practicable to the board of directors. Pending the consideration of the ap tion by the board of directors, the patient shall remain in the cus- tody of the officer or such person as the clerk may designate until it can be ascertained if there is room for the patient at the hospital. Questio& 1 What is the name of the patient? Answer ___.-.---.-- Question 2 Is ........-- white or colored ? Amswer 2.2 J22:.--- Question 3 . What is ---.--.----- age? Answer __---.------ Question 4 What is the occupation of patient ? Answer ._.--------- Question 5 Is ._._....__.- married or single; and if married for how many years? Answer __..-----.-- Question 6 If patient be married woman, state maiden name. Answer ___--_------ Question 7 Has ....-.--.--_- any education, if so how much? Answer _..-.--.---- Question 8 Where was __..._...--. born ? Answer 2222) 22-Feb Question 9 How many attacks of mental disease has the patient, had ? = Answers. 25s os Has) 2208) shoes been subject to epilepsy ?   ( Q necting 12 How long has 22 .---------- been insane? (Count mm. the first symptoms of present attack, and give all known L aptoms from that time to this date.)      > Question 13 In what way is the disease exhibited? i Answer ___--..----- f ) Question 1a as 8 2 any delusions? If so what are they? > Answer _._/____.---- » Question 15 Is _-....-- destructive to clothing or furniture? Answer ____-.------ i » Question AGS) SIs e222 5220:00:00 filthy: or indecent ? - ' Answer Se ne eens » Question 17 Has the patient manifested any propensity to injure = or others? If so, in what way and how often? Answer _.-._------- Question 18 Has ..-....... ever threatened suicide ? » Answer _._.___.__-. Question 19 Has ._..._.. ever attempted suicide? » Answer ._-__-_--.-- *Question 20 Has ___._.---- : ever threatened homicide? . Answer __...---.--- | Question 21 Has .....__.-. ever Maeboipted to commit homicide ? Answer _____...__-- eet Question 22 Has __------ any family? And if so, what.persons compose it? Age of youngest child? _ Answer __.._-.-.--- ea 23 Are any of thems insane, and what is the character 
5	1	13	2	1	2	267	2036	103	34	95	such
5	1	13	2	1	3	383	2035	176	43	92	insanity
5	1	13	2	1	4	559	2028	27	40	92	?
3	1	13	3	0	0	216	2049	473	89	-1	
4	1	13	3	1	0	216	2049	473	89	-1	
5	1	13	3	1	1	216	2049	201	89	0	Sitavior
5	1	13	3	1	2	437	2121	55	6	7	Lena
5	1	13	3	1	3	501	2122	12	4	10	ee
5	1	13	3	1	4	525	2121	55	5	4	aN
5	1	13	3	1	5	588	2121	101	5	7	CRA
3	1	13	4	0	0	206	2138	1465	111	-1	
4	1	13	4	1	0	220	2138	1451	61	-1	
5	1	13	4	1	1	220	2138	21	49	0	 Question 24 Are parents of the insane person related by blood ? Tf so, what is the degree of case ? . Question 28 Has, any medical treatment, been pursued what kind and by whom ? ie Answer _........--- Bi Question 29 Is .....- in jail? } Answer ......-.----  ye Question 30 Is -..--- in poor house? Answer._..-.------- : i ee Question 31 Is _...-. under any forcible restraint ? If , Answer __.....-.-.-  Question 32 Has patient any property? If so, eee a property consists, and what is the value thereof ? . Amswer _..._-..----                     so, what? Answer pga eS Sy with whom the Siperintéadent of the ieee can conan circumstances require, for the benefit of the patient ? Answer __......---- Relationship ._........-- : aie P. O. address .....-.1_-_- aie ba .Question 35 Give any information in your possession not emi: braced in the above question, which may throw light on the mentai or physical condition of the patient?  he Answer _...-..--.-. : a4 Same RN Rar ta ne by cid ected ,M.D am Vif STATE OF NORTH CAROLINA. Ma le 2c Nes ks aie County Wibinit Before ES im , Officer,. _.-22.2 een duly aitharived to : ad minister an oath, this .... day of -....., A..D....., came <..5..22 MDS ease one persons known to be credible and reliable. Se aeense sane person in their county, not admitted to the appropriate es a i: and not cammnitbed for crime, when it shall appear cppen thes ce Pa   board, that such insane person ought to be discharged if in a hos- pital. '",https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort_jp2.zip/publiclawsresolu1899nort_jp2%2Fpubliclawsresolu1899nort_0080.jp2&ext=jpg,https://archive.org/download/publiclawsresolu1899nort/publiclawsresolu1899nort.pdf#page=0080
