chapter,section,text
Paratextual,Paratextual,    =>    PUBLIC LAWS    | OF THE    State of North Carolina.    SESSION 1899.   
CHAPTER 1.,Chapter_Title,"CHAPTER 1.    An act to revise, consolidate and amend the insanity laws of  this state.    The General Assembly of North Carolina do enact:    _"
CHAPTER 1.,SECTION 1.,"SECTION 1. That the hospital for the insane, located near Morgan-  ton, shall be and remain a corporation under this name:  The State  Hospital at Morganton. The hospital for the insane, located near  Raleigh, shall be and remain a corporation under this name:  The  State Hospital at Raleigh. The hospital for the insane, located near  Goldsboro, shall be and remain a corporation under this name: The  State Hospital at Goldsboro. Under such name each corporation  lis invested with all the property and rights heretofore held by each,  funder whatsoever name called or incorporated, and all other corpo-  rate names are hereby abolished. Hereafter in this act, when the  jabove names are used, they shall be deemed to relate back to and  include the corporation, under whatsoever name it might heretofore  have had.  "
CHAPTER 1.,Sec. 2.,"Sec. 2. The State Hospital at Morganton, and the State Hospital  at Raleigh, and the State Hospital at Goldsboro, may each acquire  and hold, for the.purpose of its institution, real and personal prop-  et , by devise, bequest or by any manner of gift, purchase or con-  eeince whatsoever.  "
CHAPTER 1.,Sec. 3.,"Sec. 3. The State Hospital at Morganton, and the State Hospital  jat Raleigh, shall be exclusively for the accommodation, maintenance,  ieare and treatment of the white insane and inebriates of this state,  and the State Hospital at Goldsboro shall be exclusively for the ac-  commodation, maintenance, care and treatment of the colored insane   and inebriates of this state.  "
CHAPTER 1.,SEC. 4.,"SEC. 4. gihe line heretofore agreed upon by the directors of the  \State E spital at Morganton, and the State Hospital at Raleigh,  shall bg the line of division between the territories of the said hos-  pi nd white insane persons and inebriates settled in counties     to west of said line shall be admitted only into the State Hospital at  Morganton, and white insane persons and inebriates settled in coun-  ties to the east of said line shall be admitted only into the State  Hospital at Raleigh. The board of directors of these two hospitals  may, by agreement, change said line from time to time whenever in  their opinion such change may be proper, and they may, by agree-  ment, transfer patients from one hospital to the other when such  transfer may be deemed advantageous. That portion of the state  which is or may hereafter be west of said division line shall be known  as the Western Hospital District, and that portion of the state which  is or may hereafter be east of said line shall be known as the Eastern  Hospital District.  "
CHAPTER 1.,Src. 5.,"Src. 5. Each corporation shall be under the management of a  board of nine directors, no two of whom shall be resident of the same  county, nominated by the governor and by and with the advice and  consent of a majority of the senators-elect, appointed by him, of  whom five directors shall be a quorum, except when three of their  number are hereby in this law empowered to act for special purpo-  ses. Each board of directors shall be in classes of three, as they are  now divided, and the term of office of such classes shall expire as  follows: those of the first class, on the first day of April, nineteen  hundred and one; of the second class, on the first day of April,  nineteen hundred and three; and of the third class, on the first day  of April, nineteen hundred and five. At the expiration of their said  respective terms of office, all appointments shall be for a term of six  years, except such as are made to fill unexpired terms. Every va-  cancy occurring in any board of directors at a time when the gen-  eral assembly shall not be in session, shall be filled by an election  held by the remaining members of the board at their next regular  meeting after the vacancy occurs, and the person thus elected shall  hold office until his successor shall have been appointed by the gov-  ernor and confirmed by the senate as aforesaid, at the next regular  meeting of the general assembly,  "
CHAPTER 1.,Src. 6.,"Src. 6. Each board of directors shall, out of their number, appoint  three members as an executive committee, who shall hold their re-  spective offices as such for one year, and shall have such powers and  be subject to such duties as the board of directors may delegate to  them.  "
CHAPTER 1.,Src. 7.,"Src. 7. Each board of directors shall directand manage the affairs  of their institution and shall for its purposes have power to receive,.  hold, manage, convey, or otherwise dispose of, in the name of their  institution, all such property or estate as may hereafter be given or)  otherwise be conveyed to their corporation ; and the members of  each board shall serve without reward, save their traveling expenses  incurred in the discharge of their official duties.  "
CHAPTER 1.,Src. 8.,"Src. 8. Each board of directors shall convene at the [hospital of.     which it has charge, on the first Wednesday after the first Monday  in April of each year, and at such other times as they shall appoint,  and investigate the administration of its affairs, and report on the  same to the general assembly, with such remarks and recommenda-  tions as to them shall seem expedient.   Sc. 9. Each board of directors shall appoint a superintendent of  their institution and prescribe his duties. He shall bea skilled phy-  sician, educated to his profession, of good moral character, of prompt  business habits, and of kindly disposition. He shall hold office for  six years from and after his appointment, unless sooner removed by  said board, who may, for infidelity to his trust, gross immorality or  incompetency to discharge the duties of his office, fully proved and  declared, and the proofs thereof recorded in the book of their pro-  ceedings, remove him and appoint another in his place.  "
CHAPTER 1.,Sec. 10.,"Sec. 10. Each board of directors shall appoint one or more assist-  ant physicians, and with the advice and consent of the superintend-  ent, prescribe his duties. The superintendent may, with the advice  and consent of the executive committee of the board of directors,  for insubordination, immorality, neglect of duty, or incompetency,  suspend an assistant physician until a meeting of the board of di-  rectors can be called, which meeting shall be called as soon as prac-  ticable, in no event later than thirty days, when any charges pre-  ferred by the superintendent are to be investigated, and such action  taken as the board may deem best. Every assistant physician shall  hold his place for two years from and after his appointment, unless  sooner removed for good cause, which shall be specified and recorded  in their proceedings.  "
