left,top,width,height,conf,text,name
0,0,1870,2954,-1,,publiclawsresolu1899nort_0073.jp2
200,200,8,71,-1,,publiclawsresolu1899nort_0073.jp2
200,200,8,71,-1,,publiclawsresolu1899nort_0073.jp2
200,200,8,71,-1,,publiclawsresolu1899nort_0073.jp2
200,200,8,71,35,=>,publiclawsresolu1899nort_0073.jp2
464,208,949,98,-1,,publiclawsresolu1899nort_0073.jp2
464,208,949,98,-1,,publiclawsresolu1899nort_0073.jp2
464,208,949,98,-1,,publiclawsresolu1899nort_0073.jp2
464,210,497,96,95,PUBLIC,publiclawsresolu1899nort_0073.jp2
1019,208,394,69,96,LAWS,publiclawsresolu1899nort_0073.jp2
200,343,805,42,-1,,publiclawsresolu1899nort_0073.jp2
200,343,805,42,-1,,publiclawsresolu1899nort_0073.jp2
200,343,805,42,-1,,publiclawsresolu1899nort_0073.jp2
200,343,7,42,29,|,publiclawsresolu1899nort_0073.jp2
844,350,53,26,96,OF,publiclawsresolu1899nort_0073.jp2
917,349,88,29,96,THE,publiclawsresolu1899nort_0073.jp2
200,409,1426,94,-1,,publiclawsresolu1899nort_0073.jp2
200,409,1426,94,-1,,publiclawsresolu1899nort_0073.jp2
200,409,1426,94,-1,,publiclawsresolu1899nort_0073.jp2
200,409,309,94,78,‘State,publiclawsresolu1899nort_0073.jp2
581,430,101,69,96,of,publiclawsresolu1899nort_0073.jp2
744,429,323,69,96,North,publiclawsresolu1899nort_0073.jp2
1142,428,484,69,96,Carolina.,publiclawsresolu1899nort_0073.jp2
200,432,994,232,-1,,publiclawsresolu1899nort_0073.jp2
666,628,528,36,-1,,publiclawsresolu1899nort_0073.jp2
666,628,528,36,-1,,publiclawsresolu1899nort_0073.jp2
666,629,320,35,95,SESSION,publiclawsresolu1899nort_0073.jp2
1034,628,160,34,95,1899,publiclawsresolu1899nort_0073.jp2
785,798,291,34,-1,,publiclawsresolu1899nort_0073.jp2
785,798,291,34,-1,,publiclawsresolu1899nort_0073.jp2
785,798,291,34,-1,,publiclawsresolu1899nort_0073.jp2
785,798,202,34,96,CHAPTER,publiclawsresolu1899nort_0073.jp2
990,798,86,32,93,1,publiclawsresolu1899nort_0073.jp2
334,924,1216,94,-1,,publiclawsresolu1899nort_0073.jp2
334,924,1216,94,-1,,publiclawsresolu1899nort_0073.jp2
334,924,1216,46,-1,,publiclawsresolu1899nort_0073.jp2
334,929,50,34,95,An,publiclawsresolu1899nort_0073.jp2
402,929,61,34,95,act,publiclawsresolu1899nort_0073.jp2
479,929,38,34,96,to,publiclawsresolu1899nort_0073.jp2
536,928,128,42,96,"revise,",publiclawsresolu1899nort_0073.jp2
683,927,223,36,96,consolidate,publiclawsresolu1899nort_0073.jp2
922,927,68,34,96,and,publiclawsresolu1899nort_0073.jp2
1009,926,124,35,96,amend,publiclawsresolu1899nort_0073.jp2
1151,925,60,36,96,the,publiclawsresolu1899nort_0073.jp2
1229,925,156,42,96,insanity,publiclawsresolu1899nort_0073.jp2
1404,925,87,35,96,laws,publiclawsresolu1899nort_0073.jp2
1509,924,41,35,96,of,publiclawsresolu1899nort_0073.jp2
829,984,199,34,-1,,publiclawsresolu1899nort_0073.jp2
829,984,73,34,96,this,publiclawsresolu1899nort_0073.jp2
918,984,110,34,96,state.,publiclawsresolu1899nort_0073.jp2
208,1097,1074,43,-1,,publiclawsresolu1899nort_0073.jp2
208,1097,1074,43,-1,,publiclawsresolu1899nort_0073.jp2
208,1097,1074,43,-1,,publiclawsresolu1899nort_0073.jp2
208,1100,75,34,96,The,publiclawsresolu1899nort_0073.jp2
301,1099,162,34,96,General,publiclawsresolu1899nort_0073.jp2
478,1098,195,42,95,Assembly,publiclawsresolu1899nort_0073.jp2
688,1098,45,42,96,of,publiclawsresolu1899nort_0073.jp2
745,1098,123,33,96,North,publiclawsresolu1899nort_0073.jp2
886,1097,187,33,95,Carolina,publiclawsresolu1899nort_0073.jp2
1088,1097,49,33,89,do,publiclawsresolu1899nort_0073.jp2
1142,1098,140,41,89,enact:,publiclawsresolu1899nort_0073.jp2
200,1166,1466,1584,-1,,publiclawsresolu1899nort_0073.jp2
200,1166,1465,734,-1,,publiclawsresolu1899nort_0073.jp2
209,1166,1453,44,-1,,publiclawsresolu1899nort_0073.jp2
209,1192,6,2,33,_,publiclawsresolu1899nort_0073.jp2
251,1169,170,34,0,SECTION,publiclawsresolu1899nort_0073.jp2
