vol,ch_index,ch_title,sec_index,sec_title,gap
publiclawsresolu1899nort_public laws,18,CHAPTER 17.0,1,Chapter_Title,
publiclawsresolu1899nort_public laws,18,CHAPTER 17.0,2,Section 1.,1
publiclawsresolu1899nort_public laws,18,CHAPTER 17.0,3,SkEc. 2.,1
publiclawsresolu1899nort_public laws,18,CHAPTER 17.0,4,Sec. 2.,0
publiclawsresolu1899nort_public laws,18,CHAPTER 17.0,5,Src. 3.,1
publiclawsresolu1899nort_public laws,18,CHAPTER 17.0,6,Src. 4.,1
publiclawsresolu1899nort_public laws,18,CHAPTER 17.0,7,Suc. 5.,1
publiclawsresolu1899nort_public laws,18,CHAPTER 17.0,8,Src. 6.,1
publiclawsresolu1899nort_public laws,18,CHAPTER 17.0,9,Suc. 7.,1
publiclawsresolu1899nort_public laws,18,CHAPTER 17.0,10,Suc. 8.,1
